section	subgroup	case	title	rc	started_ms	finished_ms	duration_ms	log_path
SETUP	-	-	Verify host test tools exist	0	1775498460391	1775498460408	17	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/setup/root/verify-host-test-tools-exist.log
SETUP	-	-	Verify shared release/test/variant artifacts exist	0	1775498460419	1775498460432	13	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/setup/root/verify-shared-release-test-variant-artifacts-exist.log
TESTS	unit	source-defines-format-helpers	console service defines the no-allocation formatting helpers	0	1775498461104	1775498461115	11	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/tests/unit/source-defines-format-helpers.log
TESTS	-	release-iso-is-iso9660	canonical release ISO is an ISO9660 image	0	1775498461075	1775498461153	78	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/tests/root/release-iso-is-iso9660.log
TESTS	-	release-iso-is-within-10mb	canonical release ISO stays within the 10 MB upper bound	0	1775498461083	1775498461169	86	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/tests/root/release-iso-is-within-10mb.log
TESTS	unit	source-defines-printk-wrappers	console service defines printf/printk wrapper entrypoints	0	1775498461109	1775498461200	91	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/tests/unit/source-defines-printk-wrappers.log
TESTS	-	release-img-is-iso9660	canonical release IMG is an ISO9660 image	0	1775498461164	1775498461238	74	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/tests/root/release-img-is-iso9660.log
TESTS	-	release-img-copies-release-iso	canonical release IMG matches the release ISO bytes	0	1775498461192	1775498461269	77	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/tests/root/release-img-copies-release-iso.log
TESTS	-	release-img-is-within-10mb	canonical release IMG stays within the 10 MB upper bound	0	1775498461259	1775498461325	66	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/tests/root/release-img-is-within-10mb.log
TESTS	-	linker-script-defines-rodata-section	linker script defines .rodata	0	1775498461347	1775498461356	9	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6.cases/tests/root/linker-script-defines-rodata-section.log
